Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
15.04.2024,"1,538.00","1,538.00","1,538.00","1,538.00",-17.09,649,"998,162","998,162"
17.03.2023,"1,855.00","1,855.00","1,855.00","1,855.00",173.60,523,"970,165","970,165"
14.06.2022,678.00,678.00,678.00,678.00,2.88,480,"325,440","325,440"
17.01.2018,659.00,659.00,659.00,659.00,2.97,"1,650","1,087,350","1,087,350"
23.05.2017,640.00,0,0,640.00,0.00,0,0,"1,020,500"
14.03.2017,640.00,0,0,640.00,0.00,0,0,"1,007,500"
10.06.2016,640.00,640.00,640.00,640.00,2.89,212,"135,680","135,680"
26.11.2015,622.00,622.00,622.00,622.00,0.00,448,"278,656","278,656"
16.02.2015,622.00,0,0,622.00,0.00,0,0,"1,003,520"
27.11.2014,622.00,0,0,622.00,0.00,0,0,"1,861,770"
26.11.2014,622.00,0,0,622.00,0.00,0,0,"1,283,180"
24.11.2014,622.00,0,0,622.00,0.00,0,0,"2,032,670"
