Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
18.08.2022,"89,458.00",0,0,"89,458.00",0.00,0,0,"12,345,204"
17.08.2022,"89,458.00","89,458.00","89,458.00","89,458.00",0.00,8,"715,664","715,664"
14.07.2022,"89,458.00","89,458.00","89,458.00","89,458.00",41.17,1,"89,458","6,888,266"
08.07.2022,"63,370.00",0,0,"63,370.00",0.00,0,0,"12,345,204"
24.06.2022,"63,370.00",0,0,"63,370.00",0.00,0,0,"17,802,142"
03.06.2022,"63,370.00",0,0,"63,370.00",0.00,0,0,"7,157,200"
19.10.2021,"63,370.00",0,0,"63,370.00",0.00,0,0,"3,105,130"
07.09.2021,"63,370.00","63,370.00","63,370.00","63,370.00",26.74,138,"8,745,060","8,745,060"
18.12.2019,"50,000.00",0,0,"50,000.00",0.00,0,0,"9,105,863"
20.05.2019,"50,000.00","50,000.00","50,000.00","50,000.00",7.07,1,"50,000","50,000"
01.10.2018,"46,700.00","46,700.00","46,700.00","46,700.00",28.65,3,"140,100","140,100"
17.05.2017,"36,300.00",0,0,"36,300.00",0.00,0,0,"1,056,330"
28.03.2017,"36,300.00","36,300.00","36,300.00","36,300.00",0.00,2,"72,600","72,600"
19.12.2016,"36,300.00","36,300.00","36,300.00","36,300.00",-2.77,10,"363,000","363,000"
21.09.2016,"37,336.00",0,0,"37,336.00",0.00,0,0,"3,658,928"
01.06.2016,"37,336.00","37,336.00","37,336.00","37,336.00",0.00,50,"1,866,800","1,866,800"
31.05.2016,"37,336.00",0,0,"37,336.00",0.00,0,0,"13,900,000"
