Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
04.10.2024,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,9,"553,500","553,500"
15.03.2024,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,2,"123,000","123,000"
07.03.2024,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,1,"61,500","5,161,500"
19.10.2021,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,10,"615,000","615,000"
18.09.2018,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,8,"492,000","492,000"
03.07.2018,"61,500.00",0,0,"61,500.00",0.00,0,0,"2,214,000"
07.06.2018,"61,500.00",0,0,"61,500.00",0.00,0,0,"7,257,000"
15.11.2017,"61,500.00",0,0,"61,500.00",0.00,0,0,"1,722,000"
24.10.2017,"61,500.00",0,0,"61,500.00",0.00,0,0,"1,320,000"
14.08.2017,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,10,"615,000","615,000"
21.06.2017,"61,500.00",0,0,"61,500.00",0.00,0,0,"8,548,500"
20.06.2017,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,4,"246,000","4,674,000"
14.06.2017,"61,500.00","61,500.00","61,500.00","61,500.00",0.00,142,"8,733,000","8,733,000"
13.06.2017,"61,500.00","61,500.00","61,500.00","61,500.00",-33.33,41,"2,521,500","2,521,500"
03.04.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"1,014,750"
31.03.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"3,597,750"
30.03.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"11,992,500"
29.03.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"13,191,750"
24.03.2017,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,158,"14,575,500","14,575,500"
21.03.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"2,952,000"
20.03.2017,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,12,"1,107,000","2,121,750"
17.03.2017,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,16,"1,476,000","1,476,000"
16.03.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"2,029,500"
14.03.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"1,937,250"
24.02.2017,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,11,"1,014,750","1,014,750"
13.02.2017,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,19,"1,752,750","1,752,750"
07.02.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"2,767,500"
02.02.2017,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,14,"1,291,500","1,291,500"
18.01.2017,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,10,"922,500","922,500"
16.01.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"1,568,250"
04.01.2017,"92,250.00",0,0,"92,250.00",0.00,0,0,"1,014,750"
15.12.2016,"92,250.00",0,0,"92,250.00",0.00,0,0,"1,291,500"
08.11.2016,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,4,"369,000","369,000"
07.11.2016,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,16,"1,476,000","1,476,000"
03.10.2016,"92,250.00",0,0,"92,250.00",0.00,0,0,"1,014,750"
27.09.2016,"92,250.00","92,250.00","92,250.00","92,250.00",0.00,4,"369,000","369,000"
15.09.2016,"92,250.00","92,250.00","92,250.00","92,250.00",287.61,15,"1,383,750","1,383,750"
