Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
02.07.2024,"6,000.00",0,0,"6,000.00",0.00,0,0,"3,000,000"
20.12.2023,"6,000.00",0,0,"6,000.00",0.00,0,0,"3,000,000"
28.02.2022,"6,000.00",0,0,"6,000.00",0.00,0,0,"4,440,000"
16.02.2022,"6,000.00",0,0,"6,000.00",0.00,0,0,"7,980,000"
18.08.2021,"6,000.00",0,0,"6,000.00",0.00,0,0,"4,260,000"
27.01.2021,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,10,"60,000","60,000"
12.02.2020,"6,000.00",0,0,"6,000.00",0.00,0,0,"4,440,000"
27.12.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"2,010,000"
13.12.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"5,700,000"
06.12.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"2,760,000"
04.12.2019,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,220,"1,320,000","1,320,000"
29.11.2019,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,30,"180,000","180,000"
28.11.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"5,622,000"
15.11.2019,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,40,"240,000","4,140,000"
14.08.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"10,560,000"
24.07.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"9,672,000"
28.06.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"6,555,500"
05.06.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"19,200,000"
29.05.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"16,512,000"
09.04.2019,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,5,"30,000","30,000"
08.04.2019,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,5,"30,000","30,000"
28.03.2019,"6,000.00",0,0,"6,000.00",0.00,0,0,"1,800,000"
06.03.2019,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,10,"60,000","60,000"
01.02.2019,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,20,"120,000","120,000"
14.12.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,25,"150,000","150,000"
30.11.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,20,"120,000","120,000"
23.11.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,33,"198,000","198,000"
09.10.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,20,"120,000","120,000"
12.09.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,8,"48,000","48,000"
03.08.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,10,"60,000","60,000"
12.04.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,30,"180,000","180,000"
21.03.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,20,"120,000","120,000"
13.02.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,20,"120,000","120,000"
25.01.2018,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,30,"180,000","180,000"
22.12.2017,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,25,"150,000","150,000"
06.12.2017,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,35,"210,000","210,000"
16.11.2017,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,10,"60,000","60,000"
30.06.2017,"6,000.00",0,0,"6,000.00",0.00,0,0,"7,351,743"
05.06.2017,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,150,"900,000","900,000"
05.05.2017,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,1,"6,000","6,000"
13.03.2017,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,100,"600,000","600,000"
07.02.2017,"6,000.00","6,000.00","6,000.00","6,000.00",0.00,240,"1,440,000","1,440,000"
02.02.2017,"6,000.00","6,000.00","6,000.00","6,000.00",46.31,100,"600,000","600,000"
08.11.2016,"4,101.00","4,101.00","4,101.00","4,101.00",2.52,119,"488,019","488,019"
07.10.2016,"4,000.00",0,0,"4,000.00",0.00,0,0,"1,000,250"
06.10.2016,"4,000.00",0,0,"4,000.00",0.00,0,0,"2,092,000"
11.05.2016,"4,000.00","4,000.00","4,000.00","4,000.00",-34.43,175,"700,000","700,000"
28.04.2015,"6,100.00","6,100.00","6,100.00","6,100.00",-7.58,1,"6,100","6,100"
19.12.2014,"6,600.00","6,600.00","6,600.00","6,600.00",-2.94,1,"6,600","6,600"
