Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"45,000.00","45,000.00","45,000.00","45,000.00",0.00,20,"900,000","900,000"
07.11.2024,"45,000.00","45,000.00","45,000.00","45,000.00",0.46,42,"1,890,000","1,890,000"
06.11.2024,"44,750.00","45,000.00","44,750.00","44,793.57",-0.25,23,"1,030,252","1,030,252"
05.11.2024,"45,000.00","45,000.00","44,750.00","44,907.11",0.40,90,"4,041,640","4,041,640"
04.11.2024,"44,750.00","44,880.00","44,700.00","44,727.80",-0.02,104,"4,651,691","4,651,691"
01.11.2024,"44,750.00","44,880.00","44,700.00","44,734.90",-0.35,51,"2,281,480","2,281,480"
31.10.2024,"44,890.00","44,890.00","44,890.00","44,890.00",-0.02,23,"1,032,470","1,032,470"
30.10.2024,"44,900.00","44,900.00","44,900.00","44,900.00",0.69,6,"269,400","269,400"
29.10.2024,"44,551.00","44,995.00","44,551.00","44,592.30",-0.81,54,"2,407,984","2,407,984"
28.10.2024,"44,994.00","44,997.00","44,550.00","44,954.46",0.57,63,"2,832,131","2,832,131"
25.10.2024,"44,700.00","44,700.00","44,700.00","44,700.00",0.22,9,"402,300","402,300"
24.10.2024,"44,600.00","44,600.00","44,600.00","44,600.00",-0.22,15,"669,000","669,000"
22.10.2024,"44,700.00","44,700.00","44,700.00","44,700.00",-0.32,20,"894,000","894,000"
21.10.2024,"44,700.00","44,998.00","44,700.00","44,841.90",-0.35,21,"941,680","941,680"
18.10.2024,"44,998.00","44,998.00","44,998.00","44,998.00",0.00,13,"584,974","584,974"
16.10.2024,"44,999.00","44,999.00","44,998.00","44,998.80",0.00,5,"224,994","224,994"
15.10.2024,"44,998.00","44,998.00","44,998.00","44,998.00",0.00,13,"584,974","584,974"
14.10.2024,"44,995.00","45,000.00","44,990.00","44,997.44",0.14,27,"1,214,931","1,214,931"
10.10.2024,"44,999.00","44,999.00","44,890.00","44,935.56",0.75,27,"1,213,260","1,213,260"
09.10.2024,"44,601.00","44,601.00","44,601.00","44,601.00",-0.22,2,"89,202","89,202"
08.10.2024,"44,700.00","44,701.00","44,700.00","44,700.40",-0.53,10,"447,004","447,004"
07.10.2024,"44,998.00","44,998.00","44,600.00","44,940.43",0.69,14,"629,166","629,166"
04.10.2024,"44,250.00","44,880.00","44,250.00","44,634.62",-0.56,13,"580,250","580,250"
03.10.2024,"44,850.00","44,900.00","44,850.00","44,885.86",-0.03,14,"628,402","628,402"
02.10.2024,"44,900.00","44,900.00","44,900.00","44,900.00",-0.11,10,"449,000","449,000"
01.10.2024,"44,949.00","44,949.00","44,949.00","44,949.00",0.22,5,"224,745","224,745"
30.09.2024,"44,850.00","44,850.00","44,850.00","44,850.00",-0.33,3,"134,550","134,550"
27.09.2024,"44,999.00","44,999.00","44,999.00","44,999.00",0.00,15,"674,985","674,985"
26.09.2024,"45,000.00","45,000.00","45,000.00","45,000.00",0.00,21,"945,000","945,000"
25.09.2024,"45,000.00","45,000.00","44,995.00","44,999.00",0.01,15,"674,985","674,985"
24.09.2024,"44,995.00","44,999.00","44,995.00","44,996.18",-0.01,17,"764,935","764,935"
23.09.2024,"44,999.00","44,999.00","44,999.00","44,999.00",0.00,33,"1,484,967","1,484,967"
20.09.2024,"45,000.00","45,000.00","44,999.00","44,999.14",0.00,7,"314,994","314,994"
19.09.2024,"44,998.00","44,998.00","44,998.00","44,998.00",0.00,40,"1,799,920","1,799,920"
18.09.2024,"44,998.00","45,000.00","44,994.00","44,996.89",0.00,72,"3,239,776","3,239,776"
17.09.2024,"44,999.00","44,999.00","44,999.00","44,999.00",0.22,4,"179,996","179,996"
16.09.2024,"44,900.00","45,000.00","44,900.00","44,901.62",-0.50,117,"5,253,490","5,253,490"
13.09.2024,"44,900.00","45,900.00","44,900.00","45,125.26",0.51,119,"5,369,906","5,369,906"
12.09.2024,"44,895.00","44,895.00","44,895.00","44,895.00",0.01,16,"718,320","718,320"
10.09.2024,"44,895.00","44,900.00","44,850.00","44,892.15",0.88,82,"3,681,156","3,681,156"
05.09.2024,"44,501.00","44,501.00","44,501.00","44,501.00",-1.10,2,"89,002","89,002"
